mol	IC50(¦ÌM)	cmpdNO.
S(=O)(=O)(N)c1ccc(cc1\N=C(\N)/N)C(O)=O	6.46	198
S(=O)(=O)(Cc1ccc(cc1NC(N)N)C(O)=O)C	234.42	199
OC(=O)C=1CC(C(=O)NCCN)C(NC(=O)C)C(NC(N)=N)C=1	11.75	200
O1C(CC(O)CO)C(NC(=O)C)C(O)C=C1C(O)=O	10	201
O1C(C(NC(=O)C)C(O)C(O)CO)C(O)CC1(O)C(O)=O	39.8	203
OC(=O)C1CC(CCNC(=O)C)C(NC(N)=N)C1	27.54	204
OC(=O)[C@@H]1C[C@H](CNC(=O)C)[C@@H](NC(N)=N)C1	100000	206
OC(=O)c1cc(cc(NC(N)=N)c1)\C=N\O	500035010	207
OC(=O)[C@H]1CN(C[C@H]1N)C(=O)N(C(C)C)CCc1ncccc1	1299870	208
S(=O)(=O)(Cc1ccc(cc1NC(N)=N)C(O)=O)C	139991010	209
OC(=O)c1cc(NC(N)=N)c(cc1)C(=O)NC	5000350	210
P(O)(O)(=O)[C@]1(O[C@@H]([C@@H](O)[C@@H](O)CO)[C@H](NC(=O)C)[C@@H](O)C1)O	60006700	212
O1[C@@H](C(=O)N(C)C)[C@H](NC(=O)C)[C@@H](NC(N)=N)C=C1C(O)=O	23933.199	213
Oc1cc(cc([N+](=O)[O-])c1NC(=O)C)C(O)=O	750067010	214
OC(=O)c1cc(\N=C(\N)/N)cc(\N=C(\N)/N)c1	1500030000	215
O1[C@@H](C(=O)NCCC)[C@H](NC(=O)C)[C@@H](N)C=C1C(O)=O	19006400	216
FC(F)(F)C(=O)NC[C@@H]1N(C[C@@H](C(O)=O)[C@H]1N)C(=O)N(CC)CC	199986	217
OC(=O)[C@H]1CN(C[C@H]1N)C(=O)N(C(C)C)CCCCC(O)=O	1299870	218
O1[C@@H](C(=O)NCCC)[C@H](NC(=O)C)[C@@H](NC(N)=N)C=C1C(O)=O	19998.6	219
O1[C@H]([C@H](NC(=O)C)[C@H](O)[C@H](O)CO)[C@@H](O)CC1(O)C(O)=O	115001	220
P1(O[C@@H]([C@@H](O)[C@@H](O)CO)[C@H](NC(=O)C)[C@@H](O)C1)(O)=O	40003700	221
O1[C@@H](C(=O)N(C)C)[C@H](NC(=O)C)[C@@H](N)C=C1C(O)=O	2399940	222
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](O)C=C1C(O)=O	8.60003E+12	223
S(=O)(=O)(C)c1ccc(cc1NC(N)=N)C(O)=O	8999119900	224
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N)C=C1C(O)=O	319963010	225
S(=O)(=O)(Nc1ccc(cc1NC(N)=N)C(O)=O)C	100000000	226
OC(=O)[C@H]1CN(C[C@H]1N)C(=O)N(C(C)C)CCCCCO	1999860	227
P(O)(O)(=O)[C@]1(O[C@@H]([C@@H](O)[C@@H](O)CO)[C@H](O)[C@@H](O)C1)O	199986000	228
OC(=O)c1cc(NC(N)=N)c(NC(=O)C)cc1	2499770	229
O[C@@H]1C=C(C[C@H](N)[C@H]1NC(=O)C)C(O)=O	6299410	230
O(C(C)(C)C)C(=O)N1C[C@H](C(O)=O)[C@H](N)C1	50003.5	231
O1[C@@H](C(=O)N(CCCC)CCCC)[C@H](NC(=O)C)[C@@H](N)C=C1C(O)=O	449987	233
OC(=O)[C@H]1CN(C[C@H]1N)C(=O)N(C(C)C)CCCO	2099910	234
O1[C@@H](C(=O)N(CCC)C)[C@H](NC(=O)C)[C@@H](N)C=C1C(O)=O	180011	235
O([C@@H](CC)C=C)[C@@H]1C=C(C[C@H](N)[C@H]1NC(=O)C)C(O)=O	1000	236
O([C@H](Cc1ccccc1)CC)[C@@H]1C=C(C[C@H](N)[C@H]1NC(=O)C)C(O)=O	300	237
O(C(CC)C)[C@@H]1C=C(C[C@H](N)[C@H]1NC(=O)C)C(O)=O	10000	238
O1[C@@H](C(=O)N(CCC)CCC)[C@H](NC(=O)C)[C@@H](NC(N)=N)C=C1C(O)=O	1999.9	239
O1[C@@H](C(=O)N(CC)CC)[C@H](NC(=O)C)[C@@H](N)C=C1C(O)=O	2999.9	240
O(C(CC)CC)[C@@H]1C=C(C[C@H](NC(N)=N)[C@H]1NC(=O)C)C(O)=O	500	242
O1[C@@H](C(=O)N(CC)CC)[C@H](NC(=O)C)[C@@H](NC(N)=N)C=C1C(O)=O	1000	243
O(C(CC)C)[C@@H]1C=C(C[C@H](NC(N)=N)[C@H]1NC(=O)C)C(O)=O	500	244
O1[C@@H](C(=O)N(CCC)CCC)[C@H](NC(=O)C)[C@@H](N)C=C1C(O)=O	12000.5	245
O(C(CC)CC)[C@@H]1C=C(C[C@H](N)[C@H]1NC(=O)C)C(O)=O	1000	246
O[C@H]1[C@@H]([C@@H](NC(=O)C)C(CC)CC)[C@H](NC(N)=N)C[C@@H]1C(O)=O	10	247
O1[C@@H](C(=O)N(CCC)C)[C@H](NC(=O)C)[C@@H](NC(N)=N)C=C1C(O)=O	4000.4	249
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N(CCCC(=O)N2CCOCC2)C(N)=N)C=C1C(O)=O	33.3	252
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](NCCCCN)C=C1C(O)=O	200	253
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N(CCCC(=O)N2CCCCC2)C(N)=N)C=C1C(O)=O	23.1	254
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](NC(NCCCCN)=N)C=C1C(O)=O	200	255
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N(CCCN)C(N)=N)C=C1C(O)=O	200	256
O1C([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](N(CCCCN)C(N)=N)C=C1C(O)=O	200	258
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](NC(NCCCN)=N)C=C1C(O)=O	200	259
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](NCCCCC(O)=O)C=C1C(O)=O	80	260
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](NC=2NCCN=2)C=C1C(O)=O	200	261
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](NCCCN)C=C1C(O)=O	200	262
O1[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(=O)C)[C@@H](NCCCC(O)=O)C=C1C(O)=O	70	263
OC(=O)C=1CC(N)C(NC(=O)C)C(N2CCN(CC2)C)C=1	1.901	264
ClC=1C(OC(CC)CC)C(NC(=O)C)C(N)CC=1C(O)=O	3.097	267
S(C)C=1C(OC(CC)CC)C(NC(=O)C)C(N)CC=1C(O)=O	3.396	268
O(C(CC)CC)C1C(NC(=O)C)C(N)CC(C(O)=O)=C1C	2.301	269
OC(=O)C=1CC(N)C(NC(=O)C)C(NC(=O)CC)C=1	2.698	270
OC(=O)C=1CC(N)C(NC(=O)C)C(NC(=O)C(C)C)C=1	6.397	271
OC(=O)C=1CC(N)C(NC(=O)C)C(NC(=O)C(CC)CC)C=1	3.999	272
O(C(CC)CC)C1C=C(C(O)=O)C(C)C(N)C1NC(=O)C	1.5	276
OC(=O)C1=NN(C(=O)C(CC)CC)C(NC(=O)C)C(N)C1	5.998	277
O1c2c(c(O)c(O)c(O)c2CN2CCCC2C)C(=O)C=C1c1ccccc1	99.77	284
O1c2c(c(O)c(O)c(O)c2CN2C(COC2C)C)C(=O)C=C1c1ccccc1	591.562	285
O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2CN1CC(COC1C)C	43.451	300
O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2CN1CCC(CC1)CO	40.926	309
S(=O)(=O)(NC1C(N)CC(=CC1OCCC)C(O)=O)C	25.003	315
O1C(CO)C(O)C(O)C(O)C1Oc1cc(cc(O)c1)\C=C\c1ccc(O)cc1	110.79	316
O1c2c(C(C1c1ccc(O)cc1)c1cc(O)cc(O)c1)c(cc(O)c2)\C=C\c1ccc(O)cc1	88.54	317
O1c2cc(O)cc3c2C(c2c(C(C3O)c3ccc(O)cc3)c(O)cc(O)c2)C1c1ccc(O)cc1	234.61	318
